"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,188,"RUS","Russia",1,"Adygey",1,"Giaginskiy rayon","RU.AD.GI",NA,"R43010","Raion","District","<U+0413><U+0438><U+0430><U+0433><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
2,188,"RUS","Russia",1,"Adygey",2,"Koshekhabl'skiy rayon","RU.AD.KO",NA,"R43010","Raion","District","<U+041A><U+043E><U+0448><U+0435><U+0445><U+0430><U+0431>a<U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
3,188,"RUS","Russia",1,"Adygey",3,"Krasnogvardeyskiy rayon","RU.AD.KR",NA,"R43010","Raion","District","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+0433><U+0432><U+0430><U+0440><U+0434><U+0435><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
4,188,"RUS","Russia",1,"Adygey",4,"Maykop","RU.AD.MG",NA,"","Gorsovet","District","<U+041C><U+0430><U+0439><U+043A><U+043E><U+043F>",""
5,188,"RUS","Russia",1,"Adygey",5,"Maykopskiy rayon","RU.AD.MR",NA,"R43010","Raion","District","<U+041C><U+0430><U+0439><U+043A><U+043E><U+043F><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
6,188,"RUS","Russia",1,"Adygey",6,"Shovgenovskiy rayon","RU.AD.SH",NA,"R43010","Raion","District","<U+0428><U+043E><U+0432><U+0433><U+0435><U+043D><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
7,188,"RUS","Russia",1,"Adygey",7,"Takhtamukaysk rayon","RU.AD.OK",NA,"R43010","Raion","District","<U+0422><U+0430><U+0445><U+0442><U+0430><U+043C><U+0443><U+043A><U+0430><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","Oktyabr'"
8,188,"RUS","Russia",1,"Adygey",8,"Teuchezhskiy rayon","RU.AD.TE",NA,"R43010","Raion","District","<U+0422><U+0435><U+0443><U+0447><U+0435><U+0436><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
9,188,"RUS","Russia",2,"Altay",9,"Aleysk","RU.AL.AG",NA,"","Gorod","City","<U+0410><U+043B><U+0435>´<U+0439><U+0441><U+043A>)",""
10,188,"RUS","Russia",2,"Altay",10,"Aleyskiy rayon","RU.AL.AR",NA,"R53090","Raion","District","<U+0410><U+043B><U+0435><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
11,188,"RUS","Russia",2,"Altay",11,"Altayskiy rayon","RU.AL.AL",NA,"R53090","Raion","District","<U+0410><U+043B><U+0442><U+0430><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
12,188,"RUS","Russia",2,"Altay",12,"Baevskiy rayon","RU.AL.BV",NA,"R53090","Raion","District","<U+0411><U+0430><U+0435><U+0432><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
13,188,"RUS","Russia",2,"Altay",13,"Barnaul gorsovet","RU.AL.BA",NA,"R53095","Gorsovet","District","<U+0411><U+0430><U+0440><U+043D><U+0430><U+0443><U+043B> (<U+0433><U+043E><U+0440><U+0441><U+043E><U+0432><U+0435><U+0442>)",""
14,188,"RUS","Russia",2,"Altay",14,"Belokurikha","RU.AL.BE",NA,"","Gorod","City","<U+0411><U+0435><U+043B><U+043E><U+043A><U+0443><U+0440><U+0438><U+0445><U+0430>",""
15,188,"RUS","Russia",2,"Altay",15,"Biysk","RU.AL.BG",NA,"","Gorsovet","District","<U+0411><U+0438><U+0439><U+0441><U+043A>",""
16,188,"RUS","Russia",2,"Altay",16,"Biyskiy rayon","RU.AL.BR",NA,"R53090","Raion","District","<U+0411><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
17,188,"RUS","Russia",2,"Altay",17,"Blagoveshchenskiy rayon","RU.AL.BL",NA,"R53090","Raion","District","<U+0411><U+043B><U+0430><U+0433><U+043E><U+0432><U+0435><U+0449><U+0435><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
18,188,"RUS","Russia",2,"Altay",18,"Burlinskiy rayon","RU.AL.BU",NA,"R53090","Raion","District","<U+0411><U+0443><U+0440><U+043B><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
19,188,"RUS","Russia",2,"Altay",19,"Bystroistokskiy rayon","RU.AL.BY",NA,"R53090","Raion","District","<U+0411><U+044B><U+0441><U+0442><U+0440><U+043E><U+0438><U+0441><U+0442><U+043E><U+043A><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
20,188,"RUS","Russia",2,"Altay",20,"Charyshskiy rayon","RU.AL.CH",NA,"R53095","Raion","District","<U+0427><U+0430><U+0440><U+0443><U+0448><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>",""
