"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,188,"RUS","Russia",1,"Adygey",1,"Giaginskiy rayon",1,"",NA,"","","","",""
2,188,"RUS","Russia",1,"Adygey",2,"Koshekhabl'skiy rayon",2,"",NA,"","","","",""
3,188,"RUS","Russia",1,"Adygey",3,"Krasnogvardeyskiy rayon",3,"",NA,"","","","",""
4,188,"RUS","Russia",1,"Adygey",4,"Maykop",4,"",NA,"","","","",""
5,188,"RUS","Russia",1,"Adygey",5,"Maykopskiy rayon",5,"",NA,"","","","",""
6,188,"RUS","Russia",1,"Adygey",6,"Shovgenovskiy rayon",6,"",NA,"","","","",""
7,188,"RUS","Russia",1,"Adygey",7,"Takhtamukaysk rayon",7,"",NA,"","","","",""
8,188,"RUS","Russia",1,"Adygey",8,"Teuchezhskiy rayon",8,"",NA,"","","","",""
9,188,"RUS","Russia",2,"Altay",9,"Aleysk",9,"",NA,"","","","",""
10,188,"RUS","Russia",2,"Altay",10,"Aleyskiy rayon",10,"",NA,"","","","",""
11,188,"RUS","Russia",2,"Altay",11,"Altayskiy rayon",11,"",NA,"","","","",""
12,188,"RUS","Russia",2,"Altay",12,"Baevskiy rayon",12,"",NA,"","","","",""
13,188,"RUS","Russia",2,"Altay",13,"Barnaul gorsovet",13,"",NA,"","","","",""
14,188,"RUS","Russia",2,"Altay",14,"Belokurikha",14,"",NA,"","","","",""
15,188,"RUS","Russia",2,"Altay",15,"Biysk",15,"",NA,"","","","",""
16,188,"RUS","Russia",2,"Altay",16,"Biyskiy rayon",16,"",NA,"","","","",""
17,188,"RUS","Russia",2,"Altay",17,"Blagoveshchenskiy rayon",17,"",NA,"","","","",""
18,188,"RUS","Russia",2,"Altay",18,"Burlinskiy rayon",18,"",NA,"","","","",""
19,188,"RUS","Russia",2,"Altay",19,"Bystroistokskiy rayon",19,"",NA,"","","","",""
20,188,"RUS","Russia",2,"Altay",20,"Charyshskiy rayon",20,"",NA,"","","","",""
21,188,"RUS","Russia",2,"Altay",21,"Egor'evskiy rayon",21,"",NA,"","","","",""
22,188,"RUS","Russia",2,"Altay",22,"El'tsovskiy rayon",22,"",NA,"","","","",""
23,188,"RUS","Russia",2,"Altay",23,"Kalmanskiy rayon",23,"",NA,"","","","",""
24,188,"RUS","Russia",2,"Altay",24,"Kamenskiy rayon",24,"",NA,"","","","",""
25,188,"RUS","Russia",2,"Altay",25,"Khabarskiy rayon",25,"",NA,"","","","",""
26,188,"RUS","Russia",2,"Altay",26,"Klyuchevskiy rayon",26,"",NA,"","","","",""
27,188,"RUS","Russia",2,"Altay",27,"Kosikhinskiy rayon",27,"",NA,"","","","",""
28,188,"RUS","Russia",2,"Altay",28,"Krasnogorskiy rayon",28,"",NA,"","","","",""
29,188,"RUS","Russia",2,"Altay",29,"Krasnoshchekovskiy rayon",29,"",NA,"","","","",""
30,188,"RUS","Russia",2,"Altay",30,"Krutikhinskiy rayon",30,"",NA,"","","","",""
31,188,"RUS","Russia",2,"Altay",31,"Kulundinskiy rayon",31,"",NA,"","","","",""
32,188,"RUS","Russia",2,"Altay",32,"Kur'inskiy rayon",32,"",NA,"","","","",""
33,188,"RUS","Russia",2,"Altay",33,"Kytmanovskiy rayon",33,"",NA,"","","","",""
34,188,"RUS","Russia",2,"Altay",34,"Loktevskiy rayon",34,"",NA,"","","","",""
35,188,"RUS","Russia",2,"Altay",35,"Mamontovskiy rayon",35,"",NA,"","","","",""
36,188,"RUS","Russia",2,"Altay",36,"Mikhaylovskiy rayon",36,"",NA,"","","","",""
37,188,"RUS","Russia",2,"Altay",37,"Nemetskiy Natsional'nyy rayon",37,"",NA,"","","","",""
38,188,"RUS","Russia",2,"Altay",38,"Novoaltaysk",38,"",NA,"","","","",""
39,188,"RUS","Russia",2,"Altay",39,"Novochikhinskiy rayon",39,"",NA,"","","","",""
40,188,"RUS","Russia",2,"Altay",40,"Pankrushikhinskiy rayon",40,"",NA,"","","","",""
41,188,"RUS","Russia",2,"Altay",41,"Pavlovskiy rayon",41,"",NA,"","","","",""
42,188,"RUS","Russia",2,"Altay",42,"Pervomayskiy rayon",42,"",NA,"","","","",""
43,188,"RUS","Russia",2,"Altay",43,"Petropavlovskiy rayon",43,"",NA,"","","","",""
44,188,"RUS","Russia",2,"Altay",44,"Pospelikhinskiy rayon",44,"",NA,"","","","",""
45,188,"RUS","Russia",2,"Altay",45,"Rebrikhinskiy rayon",45,"",NA,"","","","",""
46,188,"RUS","Russia",2,"Altay",46,"Rodinskiy rayon",46,"",NA,"","","","",""
47,188,"RUS","Russia",2,"Altay",47,"Romanovskiy rayon",47,"",NA,"","","","",""
48,188,"RUS","Russia",2,"Altay",48,"Rubtsovsk",48,"",NA,"","","","",""
49,188,"RUS","Russia",2,"Altay",49,"Rubtsovskiy rayon",49,"",NA,"","","","",""
50,188,"RUS","Russia",2,"Altay",50,"Shelabolikhinskiy rayon",50,"",NA,"","","","",""
