"","region","district","popul_total","wa_total","ret_total","young_total","wa_perc"
"1","Калужская область","Бабынинский муниципальный район",18708,10539,4887,3282,56.3341885824246
"2","Калужская область","Барятинский муниципальный район",6055,3299,1719,1037,54.4838976052849
"3","Калужская область","Боровский муниципальный район",60879,36053,15046,9780,59.2207493552785
"4","Калужская область","Дзержинский муниципальный район",53559,30269,14812,8478,56.5152448701432
"5","Калужская область","Думиничский муниципальный район",14265,7638,4392,2235,53.5436382754995
"6","Калужская область","Жиздринский муниципальный район",10440,5621,2958,1861,53.8409961685824
"7","Калужская область","Жуковский муниципальный район",50563,30030,12670,7863,59.3912544746158
"8","Калужская область","Кировский муниципальный район",40963,23040,10887,7036,56.2458804286795
"9","Калужская область","Износковский муниципальный район",6690,3534,2040,1116,52.8251121076233
"10","Калужская область","Козельский муниципальный район",36846,20409,10127,6310,55.3900016283993
"11","Калужская область","Куйбышевский муниципальный район",7942,4249,2340,1353,53.5003777386049
"12","Калужская область","Людиновский  муниципальный район",43199,24037,11493,7669,55.6424917243455
"13","Калужская область","Малоярославецкий муниципальный район",50220,27130,13537,9553,54.0223018717642
"14","Калужская область","Медынский  муниципальный район",12631,7225,3552,1854,57.2005383580081
"15","Калужская область","Мещовский муниципальный район",13096,7621,3326,2149,58.193341478314
"16","Калужская область","Мосальский муниципальный район",8391,4400,2642,1349,52.4371350256227
"17","Калужская область","Перемышльский муниципальный район",13687,7294,4068,2325,53.2914444363264
"18","Калужская область","Спас-Деменский муниципальный район",7328,3903,2384,1041,53.2614628820961
"19","Калужская область","Сухиничский  муниципальный район",23563,13040,6867,3656,55.3410007214701
"20","Калужская область","Тарусский  муниципальный район",15062,7992,4702,2368,53.0606825122826
"21","Калужская область","Ульяновский муниципальный район",7101,3733,2097,1271,52.5700605548514
"22","Калужская область","Ферзиковский муниципальный район",17275,9753,4469,3053,56.4573082489146
"23","Калужская область","Хвастовичский муниципальный район",10442,5676,2865,1901,54.3574027963992
"24","Калужская область","Юхновский  муниципальный район",11107,5865,3478,1764,52.8045376789412
"25","Калужская область","город Калуга",358400,206183,99099,53118,57.5287388392857
"26","Калужская область","город Обнинск",111360,62703,29724,18933,56.3065732758621
