"","id","name","tweet","sent"
"1",1,"alinakirpicheva","Да, все-таки он немного похож на него. Но мой мальчик все равно лучше:D","1"
"2",2,"EvgeshaRe","RT @KatiaCheh: Ну ты идиотка) я испугалась за тебя!!!","1"
"3",3,"ikonnikova_21","RT @digger2912: ""Кто то в углу сидит и погибает от голода, а мы ещё 2 порции взяли, хотя уже и так жрать не хотим"" :DD http://t.co/GqG6iuE2…","1"
"4",4,"JumpyAlex","@irina_dyshkant Вот что значит страшилка :D
Но блин,посмотрев все части,у тебя создастся ощущение,что авторы курили что-то :D","1"
"5",6,"twinkleAYO","RT @SpoonLamer: Ох,900 :D ну это конечно же @twinkleAYO . Чтобы у нее было много друзей, ведь она такая мимими &lt;3","1"
"6",7,"pycalyruhog","RT @veregijytaqo: У тебя есть ухажёр? Нет - мои уши не кто не жрёт :D","1"
"7",9,"alina_612","Теперь у меня есть частичка Сиднея :) #Sydney #SydneyOperaHouse http://t.co/agnto3CZEi","1"
"8",10,"anvaharpew","Люблю маму и папу!!!!а в остальное я так...-влюбляюсь, привязываюсь))) ","1"
"9",11,"kazerepiconu","RT @dicyziqecida: Как-то я забыла, что вчера приехал из деревни наш котэня и испугалась, когда он утром пришел ко мне общаться. :) Доброе у","1"
"10",12,"Dane_Rider","@MrsRourke_s_tit @_vivante @dyu_bryun так было задумано, да :)","1"
"11",13,"Eugenia_lev","@Kruglova_Julia_  дааааа))
Ты... Ты... Ты и только ты...)*","1"
"12",14,"Vitaliy_Ivanov","@Alex_Shvarz :)) О, нет. Вы ведь всё равно обзоры урезаете? Просто одна версия сильно порезанная, а другая полная, только без мусора.","1"
"13",15,"__Brad_","@Jyliaalex смотри там случайно в аспирантуру не попади, наука никого до добра не доводила)","1"
"14",16,"fantanshik","RT @Abdullin_A_R: @LikhodedovaMary эхх, а в УГАТУ о контрольных предупреждают уже на контрольной)","1"
"15",17,"Tienn_En","@marinaysol а, а то подумала, что у тебя там пробежечка.)","1"
"16",18,"bstrd666","@xLesherx @4EU3 зря вы с этой хуйней шутите)) я много историй наблюдал в режиме рил времени по работе с русскими которые разбивались на них","1"
"17",19,"esken_h","@Moscow_advokat Очень главное спасибо for   МЕДВЕД™ — он работал клоуном-аниматором!   :-)))","1"
"18",20,"Obrazcova98","У нас есть прекрасная история, как сдохнуть за неделю!!)","1"
"19",21,"gaga_ylala","@Benjamin1610 сегодня столько поводов выпить, что я уже не могу усидеть на месте)","1"
"20",22,"balandin73","@StalinGulag унылый?...наверное...вдруг его перед этим чпокнули?))))","1"
"21",23,"ElenaChuravkina","RT @lumenso: @GruzdevVladimir @Sergey_Degtyrev 1) При поддержке администрации МО Белевский район сборная Белевского района по http://t.co/r…","1"
"22",25,"OSlavkina","Как же хооорошо валяться, но мой бедный, обколотый попец хочет на прогулку) http://t.co/XugobJeb9c","1"
"23",26,"SafonovaVita","Хоть у кого то заебись всё) Настюх, рада за тебя пиздец) прям искренне рада)) есть все же справедливость на свете)","1"
"24",27,"LebedokPasha","да почему мне похуй то)
Новерное потому что еще не ночь темная) )","1"
"25",28,"NasaRomanova","блин,хочется писать и писать))всякую хуйню пишу,но все равно хочется)","1"
"26",29,"_UlyanaKoks_","@JuliaLacoste_ @Kate_Craik а мне хотя бы расскажите что по чем)","1"
"27",31,"14_aliya","@1m_one я по первому не смотрю,поэтому качаю в инете)найди группу в вк Оттепель,там думаю все серии есть)","1"
"28",32,"MarieBarybina","Предвкушение  потрясающего уикенда  - Праздник света! Гулять ночи напролет и любоваться огнями :*","1"
